index	sentence1	label
136	urgent! your mobile was awarded a ??1,500 bonus caller prize on 27/6/03. our final attempt 2 contact u! call 08714714011	1
137	how's my loverboy doing ? what does he do that keeps him from coming to his queen, hmmm ? doesn't he ache to speak to me ? miss me desparately ?	0
138	just sent it. so what type of food do you like?	0
139	not a lot has happened here. feels very quiet. beth is at her aunts and charlie is working lots. just me and helen in at the mo. how have you been?	0
140	and smile for me right now as you go and the world will wonder what you are smiling about and think your crazy and keep away from you ... *grins*	0
141	oh:)as usual vijay film or its different?	0
142	i'm home. ard wat time will u reach?	0
143	how about getting in touch with folks waiting for company? just txt back your name and age to opt in! enjoy the community (150p/sms)	1
144	come round, it's .	0
145	i borrow ur bag ok.	0
146	i dont know what to do to come out of this so only am ask questions like this dont mistake me.	0
147	she said,'' do u mind if i go into the bedroom for a minute ? '' ''ok'', i sed in a sexy mood. she came out 5 minuts latr wid a cake...n my wife,	0
148	lul im gettin some juicy gossip at the hospital. two nurses are talking about how fat they are gettin. and one thinks shes obese. oyea.	0
149	then we gotta do it after that	0
150	when people see my msgs, they think iam addicted to msging... they are wrong, bcoz they don\'t know that iam addicted to my sweet friends..!! bslvyl	0
151	wow. i never realized that you were so embarassed by your accomodations. i thought you liked it, since i was doing the best i could and you always seemed so happy about \the cave\". i'm sorry i didn't and don't have more to give. i'm sorry i offered. i'm sorry your room was so embarassing."	0
152	thanks for your ringtone order, ref number r836. your mobile will be charged ??4.50. should your tone not arrive please call customer services on 09065069154	1
153	now thats going to ruin your thesis!	0
154	height of confidence: all the aeronautics professors wer calld &amp; they wer askd 2 sit in an aeroplane. aftr they sat they wer told dat the plane ws made by their students. dey all hurried out of d plane.. bt only 1 didnt move... he said:\if it is made by my students	0
155	i'm always looking for an excuse to be in the city.	0
156	he's in lag. that's just the sad part but we keep in touch thanks to skype	0
157	old orchard near univ. how about you?	0
158	as in missionary hook up, doggy hook up, standing...|	0
159	so gd got free ice cream... i oso wan...	0
160	hey sathya till now we dint meet not even a single time then how can i saw the situation sathya.	0
161	well she's in for a big surprise!	0
162	i cant pick the phone right now. pls send a message	0
163	s.this will increase the chance of winning.	0
164	aight, you close by or still down around alex's place?	0
165	nope but i'll b going 2 sch on fri quite early lor cos mys sis got paper in da morn :-)	0
166	hey, can you tell me blake's address? carlos wanted me to meet him there but i got lost and he's not answering his phone	0
167	k, want us to come by now?	0
168	i was about to do it when i texted. i finished a long time ago and showered and er'ything!	0
169	anytime lor...	0
170	haha awesome, be there in a minute	0
171	meeting u is my work. . . tel me when shall i do my work tomorrow	0
172	have you laid your airtel line to rest?	0
173	havent mus ask if u can 1st wat. of meet 4 lunch den u n him meet can already lor. or u wan 2 go ask da ge 1st then confirm w me asap?	0
174	why didn't u call on your lunch?	0
175	last chance 2 claim ur ??150 worth of discount vouchers-text yes to 85023 now!savamob-member offers mobile t cs 08717898035. ??3.00 sub. 16 . remove txt x or stop	1
176	if you ask her or she say any please message.	0
177	he also knows about lunch menu only da. . i know	0
178	how tall are you princess?	0
179	you at mu? you should try to figure out how much money everyone has for gas and alcohol, jay and i are trying to figure out our weed budget	0
180	it doesnt make sense to take it there unless its free. if you need to know more, wikipedia.com	0
181	no need for the drug anymore.	0
182	ha. you don???t know either. i did a a clever but simple thing with pears the other day, perfect for christmas.	0
183	almost there, see u in a sec	0
184	apo all other are mokka players only	0
185	mm yes dear look how i am hugging you both. :-p	0
186	customer service annoncement. you have a new years delivery waiting for you. please call 07046744435 now to arrange delivery	1
187	well there's a pattern emerging of my friends telling me to drive up and come smoke with them and then telling me that i'm a weed fiend/make them smoke too much/impede their doing other things so you see how i'm hesitant	0
188	idc get over here, you are not weaseling your way out of this shit twice in a row	0
189	s...i will take mokka players only:)	0
190	how are you doing? hope you've settled in for the new school year. just wishin you a gr8 day	0
191	yes.mum lookin strong:)	0
192	didn't you get hep b immunisation in nigeria.	0
193	r u still working now?	0
194	hey i will be late... i'm at amk. need to drink tea or coffee	0
195	dear are you angry i was busy dear	0
196	i place all ur points on e cultures module already.	0
197	rofl. its true to its name	0
198	remember on that day..	0
199	i think just yourself ??_thanks and see you tomo	0
200	i call you later, don't have network. if urgnt, sms me.	0
201	mystery solved! just opened my email and he's sent me another batch! isn't he a sweetie	0
202	aight yo, dats straight dogg	0
203	you have won a nokia 7250i. this is what you get when you win our free auction. to take part send nokia to 86021 now. hg/suite342/2lands row/w1jhl 16+	1
204	ok both our days. so what are you making for dinner tonite? am i invited?	0
205	cool. i am  &lt;#&gt;  inches long. hope you like them big!	0
206	you do what all you like	0
207	men always needs a beautiful, intelligent, caring, loving, adjustable, cooperative wife. but the law allows only one wife....	0
208	anyway seriously hit me up when you're back because otherwise i have to light up with armand and he always has shit and/or is vomiting	0
209	it shall be fine. i have avalarr now. will hollalater	0
210	a lot of this sickness thing going round. take it easy. hope u feel better soon. lol	0
211	* will be september by then!	0
212	moji i love you more than words. have a rich day	0
213	great. p diddy is my neighbor and comes for toothpaste every morning	0
214	i dont know why she.s not getting your messages	0
215	i will see in half an hour	0
216	http//tms. widelive.com/index. wml?id=820554ad0a1705572711&first=true??c c ringtone??	1
217	super msg da:)nalla timing.	0
218	for me the love should start with attraction.i should feel that i need her every time around me.she should be the first thing which comes in my thoughts.i would start the day and end it with her.she should be there every time i dream.love will be then when my every breath has her name.my life should happen around her.my life will be named to her.i would cry for her.will give all my happiness and take all her sorrows.i will be ready to fight with anyone for her.i will be in love when i will be doing the craziest things for her.love will be when i don't have to proove anyone that my girl is the most beautiful lady on the whole planet.i will always be singing praises for her.love will be when i start up making chicken curry and end up makiing sambar.life will be the most beautiful then.will get every morning and thank god for the day because she is with me.i would like to say a lot..will tell later..	0
219	44 7732584351, do you want a new nokia 3510i colour phone deliveredtomorrow? with 300 free minutes to any mobile + 100 free texts + free camcorder reply or call 08000930705.	1
220	will it help if we propose going back again tomorrow	0
221	no, i was trying it all weekend ;v	0
222	wat r u doing?	0
223	please call amanda with regard to renewing or upgrading your current t-mobile handset free of charge. offer ends today. tel 0845 021 3680 subject to t's and c's	1
224	from www.applausestore.com monthlysubscription@50p/msg max6/month t&csc web age16 2stop txt stop	1
225	oh thats late! well have a good night and i will give u a call tomorrow. iam now going to go to sleep night night	0
226	goodmorning today i am late for  &lt;decimal&gt; min.	0
227	i'm working technical support :)voice process.	0
228	yes..gauti and sehwag out of odi series.	0
229	want a new video phone? 750 anytime any network mins? half price line rental free text for 3 months? reply or call 08000930705 for free delivery	1
230	hi i'm sue. i am 20 years old and work as a lapdancer. i love sex. text me live - i'm i my bedroom now. text sue to 89555. by textoperator g2 1da 150ppmsg 18+	1
231	hi :)finally i completed the course:)	0
232	i am 6 ft. we will be a good combination!	0
233	wot student discount can u get on books?	0
234	i'm in school now n i'll be in da lab doing some stuff give me a call when ?_ r done.	0
235	then ur sis how?	0
236	yes princess! i want to make you happy...	0
237	oh yeah,and hav a great time in newquay-send me a postcard !1 look after all the girls while im gone(u know the 1im talkin bout!)xx	0
238	do you realize that in about 40 years, we'll have thousands of old ladies running around with tattoos?	1
239	i've reached already.	0
240	taka lor. wat time u wan 2 come n look 4 us?	0
241	babe! how goes that day ? what are you up to ? i miss you already, my love ... * loving kiss* ... i hope everything goes well.	0
242	thank you so much. when we skyped wit kz and sura, we didnt get the pleasure of your company. hope you are good. we've given you ultimatum oh! we are countin down to aburo. enjoy! this is the message i sent days ago	0
243	smith waste da.i wanna gayle.	0
244	fantasy football is back on your tv. go to sky gamestar on sky active and play ??250k dream team. scoring starts on saturday, so register now!sky opt out to 88088	1
245	yeah jay's sort of a fucking retard	0
246	superb thought- \be grateful that u dont have everything u want. that means u still have an opportunity to be happier tomorrow than u are today.\":-)"	0
247	no no. i will check all rooms befor activities	0
248	but i have to. i like to have love and arrange.	0
249	hurt me... tease me... make me cry... but in the end of my life when i die plz keep one rose on my grave and say stupid i miss u.. have a nice day bslvyl	0
250	long after i quit. i get on only like 5 minutes a day as it is.	0
251	congratulations! thanks to a good friend u have won the ??2,000 xmas prize. 2 claim is easy, just call 08718726978 now! only 10p per minute. bt-national-rate	1
252	ya, i'm referin to mei's ex wat... no ah, waitin 4 u to treat, somebody shld b rich liao...so gd, den u dun have to work frm tmr onwards...	0
253	sir, good morning. hope you had a good weekend. i called to let you know that i was able to raise  &lt;#&gt;  from my dad. he however said he would make the rest available by mid feb. this amount is still quite short and i was hoping you would help. do have a good day. abiola	0
254	stop calling everyone saying i might have cancer. my throat hurts to talk. i can't be answering everyones calls. if i get one more call i'm not babysitting on monday	0
255	i'm tired of arguing with you about this week after week. do what you want and from now on, i'll do the same.	0
256	do ?_ noe if ben is going?	0
257	do you always celebrate ny's with your family ?	0
258	18 days to euro2004 kickoff! u will be kept informed of all the latest news and results daily. unsubscribe send get euro stop to 83222.	1
259	finish already... yar they keep saying i mushy... i so embarrassed ok...	0
260	did u receive my msg?	0
261	so dont use hook up any how	0
262	do u knw dis no. &lt;#&gt; ?	0
263	machan you go to gym tomorrow,  i wil come late goodnight.	0
264	he remains a bro amongst bros	0
265	enjoy the jamster videosound gold club with your credits for 2 new videosounds+2 logos+musicnews! get more fun from jamster.co.uk! 16+only help? call: 09701213186	1
266	your free ringtone is waiting to be collected. simply text the password \mix\" to 85069 to verify. get usher and britney. fml  mk17 92h. 450ppw 16"	1
267	never blame a day in ur life. good days give u happiness. bad days give u experience. both are essential in life! all are gods blessings! good morning.:	0
268	i'm taking derek &amp; taylor to walmart, if i'm not back by the time you're done just leave the mouse on my desk and i'll text you when priscilla's ready	0
269	no. on the way home. so if not for the long dry spell the season would have been over	0
270	lol where do u come up with these ideas?	0
271	can help u swoop by picking u up from wherever ur other birds r meeting if u want.	0
272	hey check it da. i have listed da.	0
273	dear reached railway. what happen to you	0
274	from tomorrow onwards eve 6 to 3 work.	0
275	got c... i lazy to type... i forgot ?_ in lect... i saw a pouch but like not v nice...	0
276	also remember to get dobby's bowl from your car	0
277	so there's a ring that comes with the guys costumes. it's there so they can gift their future yowifes. hint hint	0
278	i wasn't well babe, i have swollen glands at my throat ... what did you end up doing ?	0
279	morning only i can ok.	0
280	k, text me when you're on the way	0
281	purity of friendship between two is not about smiling after reading the forwarded message..its about smiling just by seeing the name. gud evng	0
282	yo you guys ever figure out how much we need for alcohol? jay and i are trying to figure out how much we can safely spend on weed	0
283	i've not called you in a while. this is hoping it was l8r malaria and that you know that we miss you guys. i miss bani big, so pls give her my love especially. have a great day.	0
284	anything...	0
285	lmao but its so fun...	0
286	hi. hope ur day * good! back from walk, table booked for half eight. let me know when ur coming over.	0
287	i taught that ranjith sir called me. so only i sms like that. becaus hes verifying about project. prabu told today so only pa dont mistake me..	0
288	we live in the next  &lt;#&gt; mins	0
289	v nice! off 2 sheffield tom 2 air my opinions on categories 2 b used 2 measure ethnicity in next census. busy transcribing. :-)	0
290	when you came to hostel.	0
291	u need my presnts always bcz u cant mis love. \jeevithathile irulinae neekunna prakasamanu sneham\" prakasam ennal prabha 'that mns prabha is'love' got it. dont mis me...."	0
292	lol ... oh no babe, i wont be sliding into your place after midnight, but thanks for the invite	0
293	good morning my dear........... have a great &amp; successful day.	0
294	he has lots of used ones babe, but the model doesn't help. youi have to bring it over and he'll match it up	0
295	have you started in skye	0
296	u've been selected to stay in 1 of 250 top british hotels - for nothing! holiday valued at ??350! dial 08712300220 to claim - national rate call. bx526, sw73ss	1
297	k.k:)when are you going?	0
298	crucify is c not s. you should have told me earlier.	0
299	do well :)all will for little time. thing of good times ahead:	0
300	you're gonna have to be way more specific than that	0
301	dis is yijue. i jus saw ur mail. in case huiming havent sent u my num. dis is my num.	0
302	cool, i'll text you when i'm on the way	0
303	just woke up. yeesh its late. but i didn't fall asleep til &lt;#&gt; am :/	0
304	sorry, i'll call later	0
305	indeed and by the way it was either or - not both !	0
306	oh my god. i'm almost home	0
307	i ain't answerin no phone at what is actually a pretty reasonable hour but i'm sleepy	0
308	hanks lotsly!	0
309	wen ur lovable bcums angry wid u, dnt take it seriously.. coz being angry is d most childish n true way of showing deep affection, care n luv!.. kettoda manda... have nice day da.	0
310	booked ticket for pongal?	0
311	k will do, addie &amp; i are doing some art so i'll be here when you get home	0
312	trust me. even if isn't there, its there.	0
313	if you r @ home then come down within 5 min	0
314	ah you see. you have to be in the lingo. i will let you know wot on earth it is when has finished making it!	0
315	jane babes not goin 2 wrk, feel ill after lst nite. foned in already cover 4 me chuck.:-)	0
316	send me the new number	0
317	that would be good ??_ i'll phone you tomo lunchtime, shall i, to organise something?	0
318	yeah do! don???t stand to close tho- you???ll catch something!	0
319	heart is empty without love.. mind is empty without wisdom.. eyes r empty without dreams &amp; life is empty without frnds.. so alwys be in touch. good night &amp; sweet dreams	0
320	k..k.:)congratulation ..	0
321	me fine..absolutly fine	0
322	great! i shoot big loads so get ready!	0
323	no message..no responce..what happend?	0
324	you still at grand prix?	0
325	sorry, i can't text &amp; drive coherently, see you in twenty	0
326	a famous quote : when you develop the ability to listen to 'anything' unconditionally without losing your temper or self confidence, it means you are ......... 'married'	0
327	he's an adult and would learn from the experience. there's no real danger. i just dont like peeps using drugs they dont need. but no comment	0
328	tell you what, if you make a little spreadsheet and track whose idea it was to smoke to determine who \smokes too much\" for the entire month of february	0
329	if he started searching he will get job in few days.he have great potential and talent.	0
330	im in inperialmusic listening2the weirdest track ever by??leafcutter john??-sounds like insects being molested&someone plumbing,remixed by evil men on acid!	0
331	so can collect ur laptop?	0
332	s....s...india going to draw the series after many years in south african soil..	0
333	heart is empty without love.. mind is empty without wisdom.. eyes r empty without dreams &amp; life is empty without frnds.. so alwys be in touch. good night &amp; sweet dreams	0
334	sir, i have been late in paying rent for the past few months and had to pay a $ &lt;#&gt;  charge. i felt it would be inconsiderate of me to nag about something you give at great cost to yourself and that's why i didnt speak up. i however am in a recession and wont be able to pay the charge this month hence my askin well ahead of month's end. can you please help. thanks	0
335	love it! daddy will make you scream with pleasure! i am going to slap your ass with my dick!	0
336	oi. ami parchi na re. kicchu kaaj korte iccha korche na. phone ta tul na. plz. plz.	0
337	?? comin to fetch us oredi...	0
338	cud u tell ppl im gona b a bit l8 cos 2 buses hav gon past cos they were full & im still waitin 4 1. pete x	0
339	ceri u rebel! sweet dreamz me little buddy!! c ya 2moro! who needs blokes	0
340	alright if you're sure, let me know when you're leaving	0
341	you will go to walmart. i.ll stay.	0
342	txt: call to no: 86888 & claim your reward of 3 hours talk time to use from your phone now! subscribe6gbp/mnth inc 3hrs 16 stop?txtstop www.gamb.tv	1
343	when did dad get back.	0
344	where r e meeting tmr?	0
345	frnd s not juz a word.....not merely a relationship.....its a silent promise which says ... \ i will be with you \" wherevr.. whenevr.. forevr... gudnyt dear.."	0
346	i want  &lt;#&gt;  rs da:)do you have it?	0
347	what today-sunday..sunday is holiday..so no work..	0
348	i'm nt goin, got somethin on, unless they meetin 4 dinner lor... haha, i wonder who will go tis time...	0
349	thanks. fills me with complete calm and reassurance!	0
350	i think you should go the honesty road. call the bank tomorrow. its the tough decisions that make us great people.	0
351	cheers for the message zogtorius. i??ve been staring at my phone for an age deciding whether to text or not.	0
352	hey are we going for the lo lesson or gym?	0
353	fighting with the world is easy, u either win or lose bt fightng with some1 who is close to u is dificult if u lose - u lose if u win - u still lose.	0
354	haha... where got so fast lose weight, thk muz go 4 a month den got effect... gee,later we go aust put bk e weight.	0
355	cool. we will have fun practicing making babies!	0
356	sos! any amount i can get pls.	0
357	good afternoon, babe. how goes that day ? any job prospects yet ? i miss you, my love ... *sighs* ... :-(	0
358	yup ok thanx...	0
359	k...k:)why cant you come here and search job:)	0
360	xmas iscoming & ur awarded either ??500 cd gift vouchers & free entry 2 r ??100 weekly draw txt music to 87066 tnc www.ldew.com1win150ppmx3age16subscription	1
361	cos i want it to be your thing	0
362	hope you are having a great new semester. do wish you the very best. you are made for greatness.	0
363	* am on a train back from northampton so i'm afraid not!	0
364	great. i'm in church now, will holla when i get out	0
365	buy space invaders 4 a chance 2 win orig arcade game console. press 0 for games arcade (std wap charge) see o2.co.uk/games 4 terms + settings. no purchase	1
366	so check your errors and if you had difficulties, do correction.	0
367	no. its not specialisation. can work but its slave labor. will look for it this month sha cos no shakara 4 beggar.	0
368	hi its kate how is your evening? i hope i can see you tomorrow for a bit but i have to bloody babyjontet! txt back if u can. :) xxx	0
369	its just the effect of irritation. just ignore it	0
370	match started.india  &lt;#&gt;  for 2	0
371	oh ho. is this the first time u use these type of words	0
372	webpage s not available!	0
373	i'm on the bus. love you	0
374	haha awesome, omw back now then	0
375	hi happy birthday. hi hi hi hi hi hi hi	0
376	winner!! as a valued network customer you have been selected to receivea ??900 prize reward! to claim call 09061701461. claim code kl341. valid 12 hours only.	1
377	good morning princess! how are you?	0
378	dear voucher holder, 2 claim this weeks offer, at your pc go to http://www.e-tlp.co.uk/expressoffer ts&cs apply.2 stop texts txt stop to 80062.	1
379	my sister going to earn more than me da.	0
380	you have 1 new voicemail. please call 08719181513.	1
381	splashmobile: choose from 1000s of gr8 tones each wk! this is a subscrition service with weekly tones costing 300p. u have one credit - kick back and enjoy	1
382	y de asking like this.	0
383	no. did you multimedia message them or e-mail?	0
384	have you emigrated or something? ok maybe 5.30 was a bit hopeful...	0
385	yo chad which gymnastics class do you wanna take? the site says christians class is full..	0
386	true. its easier with her here.	0
387	call me, i am senthil from hsbc.	0
388	oh, my love, it's soooo good to hear from you. omg i missed you so much today. i'm sorry your having problems with the provider but thank you for tming me	0
389	was the actual exam harder than nbme	0
390	new theory: argument wins d situation, but loses the person. so dont argue with ur friends just.. . . . kick them &amp; say, i'm always correct.!	0
391	hello. sort of out in town already. that . so dont rush home, i am eating nachos. will let you know eta.	0
392	ur balance is now ??600. next question: complete the landmark, big, a. bob, b. barry or c. ben ?. text a, b or c to 83738. good luck!	1
393	ya ok, vikky vl c witin  &lt;#&gt; mins and il reply u..	0
394	please call our customer service representative on 0800 169 6031 between 10am-9pm as you have won a guaranteed ??1000 cash or ??5000 prize!	1
395	oops sorry. just to check that you don't mind picking me up tomo at half eight from station. would that be ok?	0
396	doing nothing, then u not having dinner w us?	0
397	did you try making another butt.	0
398	hi..i got the money da:)	0
399	you in your room? i need a few	0
400	please call 08712402902 immediately as there is an urgent message waiting for you.	1
401	then she dun believe wat?	0
